Category,Country,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050
FE|Transport|Freight|Road|Heavy,CY,168058644948.11343,184349138862.30957,208835928380.37228,205746754715.16287,180881949001.60944,153816536646.4531,127007704950.73322,106370359792.81413,94160311928.36281,0.0006675900067787544
FE|Transport|Freight|Road|Heavy,CZ,6019203881130.525,6602665709137.864,7479686814175.663,7369044686120.568,6478484518264.965,5509107220579.071,4548919639385.18,3809770587522.1904,3372454390445.951,0.023910465070376266
FE|Transport|Freight|Road|Heavy,DE,33903416982580.91,37189790070949.59,42129648034530.61,41506451632253.664,36490334332499.58,31030276260713.582,25621979650465.176,21458691778434.57,18995490053503.54,0.13467669205718064
FE|Transport|Freight|Road|Heavy,DK,1388898456525.2913,1523529090138.0232,1725896925350.5298,1700366857933.453,1494874957840.9712,1271196435043.7468,1049638389190.6013,879083778057.904,778175451453.9846,0.005517209366367257
FE|Transport|Freight|Road|Heavy,EE,253053821703.49634,277583186103.0345,314454099055.522,309802584686.0684,272362474933.47424,231608808053.86853,191241486764.90863,160166863596.08606,141781619110.53183,0.0010052217343450814
FE|Transport|Freight|Road|Heavy,EL,2275552686768.8545,2496129719308.214,2827686478529.8203,2785858356948.0166,2449183171539.191,2082711266316.4756,1719713522206.59,1440279124551.07,1274952269558.8335,0.009039322160751992
FE|Transport|Freight|Road|Heavy,ES,13956594364944.844,15309454348049.154,17342983707451.627,17086440262266.113,15021518178582.947,12773844566329.867,10547478945621.947,8833630454059.01,7819635099798.474,0.05544066435605547
FE|Transport|Freight|Road|Heavy,EU27_2020,200146255881841.0,219547110651311.0,248709188223221.0,245030195434416.0,215417926643759.0,183184887108928.0,151257417444268.0,126679762626368.0,112138437692072.0,0.795053657383428
FE|Transport|Freight|Road|Heavy,FI,3111982494384.237,3413637502381.613,3867065294491.9766,3809862320070.681,3349434710823.127,2848257937212.095,2351832329605.112,1969685627887.7573,1743589224328.7644,0.012361925297938442
FE|Transport|Freight|Road|Heavy,FR,19454236934167.418,21340002040028.113,24174559019757.152,23816960537201.68,20938644924084.28,17805590121454.418,14702236742056.564,12313286131879.355,10899867832535.705,0.07727929837091141
FE|Transport|Freight|Road|Heavy,HR,799727344925.5481,877247626310.3475,993770969534.2385,979070763817.0343,860748584904.2565,731954553696.9539,604381492524.211,506176194876.17706,448073208486.71594,0.0031768076184645875
