Category,Country,Year,Value
FE|Transport|Freight|Road|Heavy,DE,2025,0.5755639499500682
FE|Transport|Freight|Road|Heavy,DK,2025,0.02493829916027591
FE|Transport|Freight|Road|Heavy,EE,2025,0.003394787519912862
FE|Transport|Freight|Road|Heavy,EL,2025,0.020710548508432413
FE|Transport|Freight|Road|Heavy,ES,2025,0.25600103793837986
FE|Transport|Freight|Road|Heavy,FI,2025,0.03571499105827628
FE|Transport|Freight|Road|Heavy,FR,2025,0.3456476152453917
FE|Transport|Freight|Road|Heavy,HR,2025,0.011452934559182578
FE|Transport|Freight|Road|Heavy,HU,2025,0.03235228804418593
FE|Transport|Freight|Road|Heavy,IE,2025,0.011902117640697766
FE|Transport|Freight|Road|Heavy,IT,2025,0.1886371499251035
FE|Transport|Freight|Road|Heavy,LT,2025,0.010695246613989377
FE|Transport|Freight|Road|Heavy,LU,2025,0.0025729305630746335
FE|Transport|Freight|Road|Heavy,LV,2025,0.007587985627024423
FE|Transport|Freight|Road|Heavy,MT,2025,0.00040562350609026
FE|Transport|Freight|Road|Heavy,NL,2025,0.07026876980966852
FE|Transport|Freight|Road|Heavy,PL,2025,0.21612740131772396
FE|Transport|Freight|Road|Heavy,PT,2025,0.01718865698468421
FE|Transport|Freight|Road|Heavy,RO,2025,0.026748605700338494
FE|Transport|Freight|Road|Heavy,SE,2025,0.0645651318899894
FE|Transport|Freight|Road|Heavy,SI,2025,0.011060516372584145
FE|Transport|Freight|Road|Heavy,SK,2025,0.020335406594199947
FE|Transport|Freight|Road|Heavy,EU27,2025,2.15417926643759
FE|Transport|Freight|Road|Heavy,AT,2030,0.04930688011334403
FE|Transport|Freight|Road|Heavy,BE,2030,0.054511769239319004
FE|Transport|Freight|Road|Heavy,BG,2030,0.011548347748256986
FE|Transport|Freight|Road|Heavy,CY,2030,0.0007051785267449973
FE|Transport|Freight|Road|Heavy,CZ,2030,0.054263067883904476
FE|Transport|Freight|Road|Heavy,DE,2030,0.48944216871018026
FE|Transport|Freight|Road|Heavy,DK,2030,0.021206775069925073
FE|Transport|Freight|Road|Heavy,EE,2030,0.0028868245938623326
FE|Transport|Freight|Road|Heavy,EL,2030,0.017611623830894776
FE|Transport|Freight|Road|Heavy,ES,2030,0.2176955370667112
FE|Transport|Freight|Road|Heavy,FI,2030,0.03037094779918707
FE|Transport|Freight|Road|Heavy,FR,2030,0.2939282740517068
FE|Transport|Freight|Road|Heavy,HR,2030,0.00973922902785762
FE|Transport|Freight|Road|Heavy,HU,2030,0.0275114068983238
FE|Transport|Freight|Road|Heavy,IE,2030,0.01012120072984449
FE|Transport|Freight|Road|Heavy,IT,2030,0.16041132486956436
FE|Transport|Freight|Road|Heavy,LT,2030,0.009094914123956684
FE|Transport|Freight|Road|Heavy,LU,2030,0.002187942303963273
FE|Transport|Freight|Road|Heavy,LV,2030,0.006452593394278256
FE|Transport|Freight|Road|Heavy,MT,2030,0.00034492995698890945
FE|Transport|Freight|Road|Heavy,NL,2030,0.05975443578636961
FE|Transport|Freight|Road|Heavy,PL,2030,0.18378820290572256
FE|Transport|Freight|Road|Heavy,PT,2030,0.014616713837843852
FE|Transport|Freight|Road|Heavy,RO,2030,0.022746204978756786
FE|Transport|Freight|Road|Heavy,SE,2030,0.05490423466938244
FE|Transport|Freight|Road|Heavy,SI,2030,0.009405528475022932
FE|Transport|Freight|Road|Heavy,SK,2030,0.017292614497367277
FE|Transport|Freight|Road|Heavy,EU27,2030,1.83184887108928
FE|Transport|Freight|Road|Heavy,AT,2035,0.04071313668874744
FE|Transport|Freight|Road|Heavy,BE,2035,0.04501086069700903
FE|Transport|Freight|Road|Heavy,BG,2035,0.0095355751433304
FE|Transport|Freight|Road|Heavy,CY,2035,0.0005822722849902799
FE|Transport|Freight|Road|Heavy,CZ,2035,0.044805505739356204
FE|Transport|Freight|Road|Heavy,DE,2035,0.40413682370752435
FE|Transport|Freight|Road|Heavy,DK,2035,0.01751062590382227
FE|Transport|Freight|Road|Heavy,EE,2035,0.0023836771666789582
FE|Transport|Freight|Road|Heavy,EL,2035,0.014542077022309325
FE|Transport|Freight|Road|Heavy,ES,2035,0.17975317312215552
FE|Transport|Freight|Road|Heavy,FI,2035,0.0250775661788522
FE|Transport|Freight|Road|Heavy,FR,2035,0.24269923326412554
FE|Transport|Freight|Road|Heavy,HR,2035,0.00804176945981367
FE|Transport|Freight|Road|Heavy,HU,2035,0.02271641740415203
FE|Transport|Freight|Road|Heavy,IE,2035,0.008357166947516738
FE|Transport|Freight|Road|Heavy,IT,2035,0.13245308120945554
FE|Transport|Freight|Road|Heavy,LT,2035,0.007509752818468386
FE|Transport|Freight|Road|Heavy,LU,2035,0.0018066037413760913
FE|Transport|Freight|Road|Heavy,LV,2035,0.005327964702983974
FE|Transport|Freight|Road|Heavy,MT,2035,0.0002848117839670961
FE|Transport|Freight|Road|Heavy,NL,2035,0.049339777863395086
FE|Transport|Freight|Road|Heavy,PL,2035,0.15175558075220624
FE|Transport|Freight|Road|Heavy,PT,2035,0.012069152764329774
FE|Transport|Freight|Road|Heavy,RO,2035,0.0187817470973948
FE|Transport|Freight|Road|Heavy,SE,2035,0.04533492295085778
FE|Transport|Freight|Road|Heavy,SI,2035,0.00776622989638077
FE|Transport|Freight|Road|Heavy,SK,2035,0.014278668131480389
FE|Transport|Freight|Road|Heavy,EU27,2035,1.51257417444268
FE|Transport|Freight|Road|Heavy,AT,2040,0.034097702966571754
FE|Transport|Freight|Road|Heavy,BE,2040,0.037697094430470195
FE|Transport|Freight|Road|Heavy,BG,2040,0.00798614981052466
FE|Transport|Freight|Road|Heavy,CY,2040,0.00048765948865720773
FE|Transport|Freight|Road|Heavy,CZ,2040,0.03752510737866698
FE|Transport|Freight|Road|Heavy,DE,2040,0.33846906658119474
FE|Transport|Freight|Road|Heavy,DK,2040,0.014665343164097486
FE|Transport|Freight|Road|Heavy,EE,2040,0.0019963560316904445
FE|Transport|Freight|Road|Heavy,EL,2040,0.012179150592461187
FE|Transport|Freight|Road|Heavy,ES,2040,0.15054527366131504
FE|Transport|Freight|Road|Heavy,FI,2040,0.021002739465352537
FE|Transport|Freight|Road|Heavy,FR,2040,0.20326329629969528
FE|Transport|Freight|Road|Heavy,HR,2040,0.006735071003314799
FE|Transport|Freight|Road|Heavy,HU,2040,0.019025251211497046
FE|Transport|Freight|Road|Heavy,IE,2040,0.0069992198930041195
FE|Transport|Freight|Road|Heavy,IT,2040,0.11093092272930863
FE|Transport|Freight|Road|Heavy,LT,2040,0.0062895011729047915
FE|Transport|Freight|Road|Heavy,LU,2040,0.0015130506456105329
FE|Transport|Freight|Road|Heavy,LV,2040,0.004462229457966027
FE|Transport|Freight|Road|Heavy,MT,2040,0.00023853302400484298
FE|Transport|Freight|Road|Heavy,NL,2040,0.04132261050983241
FE|Transport|Freight|Road|Heavy,PL,2040,0.12709697991504765
FE|Transport|Freight|Road|Heavy,PT,2040,0.01010804913319382
FE|Transport|Freight|Road|Heavy,RO,2040,0.01572992124424648
FE|Transport|Freight|Road|Heavy,SE,2040,0.03796850015778834
FE|Transport|Freight|Road|Heavy,SI,2040,0.006504303566718084
FE|Transport|Freight|Road|Heavy,SK,2040,0.011958542728544831
FE|Transport|Freight|Road|Heavy,EU27,2040,1.26679762626368
FE|Transport|Freight|Road|Heavy,AT,2045,0.030183693593090154
FE|Transport|Freight|Road|Heavy,BE,2045,0.03336991787260847
FE|Transport|Freight|Road|Heavy,BG,2045,0.007069435120181266
FE|Transport|Freight|Road|Heavy,CY,2045,0.0004316819991605462
FE|Transport|Freight|Road|Heavy,CZ,2045,0.033217672881833096
FE|Transport|Freight|Road|Heavy,DE,2045,0.29961685707807584
FE|Transport|Freight|Road|Heavy,DK,2045,0.012981936787255175
FE|Transport|Freight|Road|Heavy,EE,2045,0.001767198184063486
FE|Transport|Freight|Road|Heavy,EL,2045,0.010781129452249176
FE|Transport|Freight|Road|Heavy,ES,2045,0.1332644728747809
FE|Transport|Freight|Road|Heavy,FI,2045,0.018591875624560307
FE|Transport|Freight|Road|Heavy,FR,2045,0.17993109565903245
FE|Transport|Freight|Road|Heavy,HR,2045,0.005961965229477722
FE|Transport|Freight|Road|Heavy,HU,2045,0.0168413794226072
FE|Transport|Freight|Road|Heavy,IE,2045,0.0061957929790230175
FE|Transport|Freight|Road|Heavy,IT,2045,0.0981973766661871
FE|Transport|Freight|Road|Heavy,LT,2045,0.005567541498101866
FE|Transport|Freight|Road|Heavy,LU,2045,0.0013393704884668732
FE|Transport|Freight|Road|Heavy,LV,2045,0.003950018769104462
FE|Transport|Freight|Road|Heavy,MT,2045,0.00021115227953782836
FE|Transport|Freight|Road|Heavy,NL,2045,0.03657926797351038
FE|Transport|Freight|Road|Heavy,PL,2045,0.11250776341514467
FE|Transport|Freight|Road|Heavy,PT,2045,0.0089477657236715
FE|Transport|Freight|Road|Heavy,RO,2045,0.013924314008636902
FE|Transport|Freight|Road|Heavy,SE,2045,0.03361016946142699
FE|Transport|Freight|Road|Heavy,SI,2045,0.005757687140589249
FE|Transport|Freight|Road|Heavy,SK,2045,0.010585844738343215
FE|Transport|Freight|Road|Heavy,EU27,2045,1.12138437692072
FE|Transport|Freight|Road|Heavy,AT,2050,0.021400027036602515
FE|Transport|Freight|Road|Heavy,BE,2050,0.023659037701287394
FE|Transport|Freight|Road|Heavy,BG,2050,0.005012179912269578
FE|Transport|Freight|Road|Heavy,CY,2050,0.00030605950940891925
FE|Transport|Freight|Road|Heavy,CZ,2050,0.023551097070736927
FE|Transport|Freight|Road|Heavy,DE,2050,0.21242625003192211
FE|Transport|Freight|Road|Heavy,DK,2050,0.009204102121495313
FE|Transport|Freight|Road|Heavy,EE,2050,0.0012529311166427633
FE|Transport|Freight|Road|Heavy,EL,2050,0.007643745158348054
FE|Transport|Freight|Road|Heavy,ES,2050,0.09448357649614364
FE|Transport|Freight|Road|Heavy,FI,2050,0.013181509406715686
FE|Transport|Freight|Road|Heavy,FR,2050,0.12756988471120367
FE|Transport|Freight|Road|Heavy,HR,2050,0.0042269915280121724
FE|Transport|Freight|Road|Heavy,HU,2050,0.011940419878234578
FE|Transport|Freight|Road|Heavy,IE,2050,0.004392773762275337
FE|Transport|Freight|Road|Heavy,IT,2050,0.06962125125935273
FE|Transport|Freight|Road|Heavy,LT,2050,0.003947347869117713
FE|Transport|Freight|Road|Heavy,LU,2050,0.000949604281424995
FE|Transport|Freight|Road|Heavy,LV,2050,0.0028005356002313163
FE|Transport|Freight|Road|Heavy,MT,2050,0.00014970548508298604
FE|Transport|Freight|Road|Heavy,NL,2050,0.025934444411119178
FE|Transport|Freight|Road|Heavy,PL,2050,0.07976721508539811
FE|Transport|Freight|Road|Heavy,PT,2050,0.006343903134757197
FE|Transport|Freight|Road|Heavy,RO,2050,0.009872240961231748
FE|Transport|Freight|Road|Heavy,SE,2050,0.02382937439253581
FE|Transport|Freight|Road|Heavy,SI,2050,0.004082159795881166
FE|Transport|Freight|Road|Heavy,SK,2050,0.0075052896659964
FE|Transport|Freight|Road|Heavy,EU27,2050,0.795053657383428
FE|Transport|Freight|Road|Light,AT,2005,0.004607401907379715
FE|Transport|Freight|Road|Light,BE,2005,0.010856989743027434
FE|Transport|Freight|Road|Light,BG,2005,0.007876776224339164
FE|Transport|Freight|Road|Light,CY,2005,0.0017862042802844864
FE|Transport|Freight|Road|Light,CZ,2005,0.009533323292332556
FE|Transport|Freight|Road|Light,DE,2005,0.20630043340893683
FE|Transport|Freight|Road|Light,DK,2005,0.012207923760957433
FE|Transport|Freight|Road|Light,EE,2005,0.004286284442516037
FE|Transport|Freight|Road|Light,EL,2005,0.020047321589992607
FE|Transport|Freight|Road|Light,ES,2005,0.07120186189704691
FE|Transport|Freight|Road|Light,FI,2005,0.026191061237552753
FE|Transport|Freight|Road|Light,FR,2005,0.17313453574086088
FE|Transport|Freight|Road|Light,HR,2005,0.004661827307532723
FE|Transport|Freight|Road|Light,HU,2005,0.013306013840418502
FE|Transport|Freight|Road|Light,IE,2005,0.021420734113046496
FE|Transport|Freight|Road|Light,IT,2005,0.12633230311389718
FE|Transport|Freight|Road|Light,LT,2005,0.0015448839992457152
FE|Transport|Freight|Road|Light,LU,2005,0.0019562941198920333
FE|Transport|Freight|Road|Light,LV,2005,0.0021637001166138078
FE|Transport|Freight|Road|Light,MT,2005,0.0004449218762610725
FE|Transport|Freight|Road|Light,NL,2005,0.04245269728523273
FE|Transport|Freight|Road|Light,PL,2005,0.08149061501323607
FE|Transport|Freight|Road|Light,PT,2005,0.020051855211184532
FE|Transport|Freight|Road|Light,RO,2005,0.0410281169621048
FE|Transport|Freight|Road|Light,SE,2005,0.019838297883970207
FE|Transport|Freight|Road|Light,SI,2005,0.0027178187037013453
FE|Transport|Freight|Road|Light,SK,2005,0.003081163386132582
FE|Transport|Freight|Road|Light,EU27,2005,0.930521360457697
FE|Transport|Freight|Road|Light,AT,2010,0.0050356718825813876
FE|Transport|Freight|Road|Light,BE,2010,0.011866175141106917
FE|Transport|Freight|Road|Light,BG,2010,0.008608943034632763
FE|Transport|Freight|Road|Light,CY,2010,0.0019522366078739868
FE|Transport|Freight|Road|Light,CZ,2010,0.010419470455543403
FE|Transport|Freight|Road|Light,DE,2010,0.2254765945679243
FE|Transport|Freight|Road|Light,DK,2010,0.013342681985108651
FE|Transport|Freight|Road|Light,EE,2010,0.004684705715243172
FE|Transport|Freight|Road|Light,EL,2010,0.021910772205502044
FE|Transport|Freight|Road|Light,ES,2010,0.07782025991006143
FE|Transport|Freight|Road|Light,FI,2010,0.02862558841191236
FE|Transport|Freight|Road|Light,FR,2010,0.189227840561855
FE|Transport|Freight|Road|Light,HR,2010,0.00509515626505077
FE|Transport|Freight|Road|Light,HU,2010,0.014542842389788526
FE|Transport|Freight|Road|Light,IE,2010,0.02341184699006775
FE|Transport|Freight|Road|Light,IT,2010,0.13807521884154395
FE|Transport|Freight|Road|Light,LT,2010,0.0016884849798735801
FE|Transport|Freight|Road|Light,LU,2010,0.0021381367398882163
FE|Transport|Freight|Road|Light,LV,2010,0.0023648216627506513
FE|Transport|Freight|Road|Light,MT,2010,0.0004862785203619075
FE|Transport|Freight|Road|Light,NL,2010,0.04639878577047421
FE|Transport|Freight|Road|Light,PL,2010,0.08906537935384808
FE|Transport|Freight|Road|Light,PT,2010,0.021915727238560022
FE|Transport|Freight|Road|Light,RO,2010,0.04484178700590718
FE|Transport|Freight|Road|Light,SE,2010,0.021682319203057424
FE|Transport|Freight|Road|Light,SI,2010,0.0029704470118531675
FE|Transport|Freight|Road|Light,SK,2010,0.003367565526318733
FE|Transport|Freight|Road|Light,EU27,2010,1.01701573797869
FE|Transport|Freight|Road|Light,AT,2015,0.00699578989028588
FE|Transport|Freight|Road|Light,BE,2015,0.01648504311324651
FE|Transport|Freight|Road|Light,BG,2015,0.011959944581785911
FE|Transport|Freight|Road|Light,CY,2015,0.002712138011225973
FE|Transport|Freight|Road|Light,CZ,2015,0.0144752135910922
FE|Transport|Freight|Road|Light,DE,2015,0.3132425856082133
FE|Transport|Freight|Road|Light,DK,2015,0.01853627518178832
FE|Transport|Freight|Road|Light,EE,2015,0.006508211346141649
FE|Transport|Freight|Road|Light,EL,2015,0.03043946513151925
FE|Transport|Freight|Road|Light,ES,2015,0.10811152915291802
FE|Transport|Freight|Road|Light,FI,2015,0.039768000514140825
FE|Transport|Freight|Road|Light,FR,2015,0.2628841284402048
